id,name,cost mult,build time,income,upkeep,downgrade,upgrade,tags,data,image,plugin,desc,order,disruptDanger
battlestation_high,Estacion de combate - alta tecnologia,100,120,,4,orbitalstation_high,starfortress_high,"station, battlestation, unraidable, structure","{
radius:65,
variant:station2_hightech_Standard,
fleetName:Battlestation,
}",graphics/icons/industry/battlestation.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion espacial, reforzada con una ciudadela defensiva de gran potencia de fuego.

Debe ser reducida antes de poder intentar un bombardeo.",2080,
starfortress_high,Fortaleza estelar - alta tecnologia,200,180,,5,battlestation_high,,"station, starfortress, unraidable, structure","{
radius:70,
variant:station3_hightech_Standard,
fleetName:Star Fortress
}",graphics/icons/industry/star_fortress.png,com.fs.starfarer.api.impl.campaign.econ.impl.OrbitalStation,"Una estacion de combate con blindaje reforzado, equipada con drones defensivos de clase Gargoyle y teletransportadores de minas guiadas de largo alcance.

Debe ser reducida antes de poder intentar un bombardeo.",2090,
grounddefenses,Defensas terrestres,30,60,,2,,heavybatteries,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/ground_defenses.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Una red dispersa y semiautonoma de pequenas instalaciones armamentisticas ocultas que convierte cualquier asalto terrestre directo, e incluso las incursiones mas simples, en algo extremadamente costoso para el atacante. Solo un bombardeo orbital arrollador o un despliegue de contramedidas activas desproporcionadamente masivo puede neutralizar estas defensas.",2200,
heavybatteries,Baterias pesadas,60,90,,3,grounddefenses,,"grounddefenses, unraidable, tactical_bombardment, structure",,graphics/icons/industry/heavy_batteries.png,com.fs.starfarer.api.impl.campaign.econ.impl.GroundDefenses,"Baterias subterraneas blindadas complementan una red dispersa de pequenas instalaciones armamentisticas ocultas. Las baterias terrestres son capaces de una potencia de fuego verdaderamente formidable, aunque esta solo se manifiesta dificultando las operaciones terrestres, ya que ningun capitan de nave seria tan insensato como para entrar en su radio de tiro.",2300,
patrolhq,Cuartel de patrullas,60,60,,8,,militarybase,"patrol, unraidable, tactical_bombardment, structure",,graphics/icons/industry/patrol_hq.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Los hangares, bahias de mantenimiento, centro de mando y control, barracones y operaciones logisticas necesarios para proyectar fuerza por todo un sistema estelar. Una vez establecidas, las patrullas militarizadas cazaran piratas y protegeran a los convoyes aliados.",2400,
militarybase,Base militar,90,120,,10,patrolhq,highcommand,"military, unraidable, tactical_bombardment, industry",,graphics/icons/industry/military_base.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,"Estas instalaciones permiten proyectar fuerza entre sistemas estelares. Cualquier operacion militar de este tipo es un esfuerzo logistico descomunal que exige coordinar decenas, quiza cientos, de naves estelares y miles de oficiales, tripulantes y soldados.",2500,
highcommand,Alto mando,30,120,,14,militarybase,,"command, unraidable, tactical_bombardment, industry",,graphics/icons/industry/high_command.png,com.fs.starfarer.api.impl.campaign.econ.impl.MilitaryBase,Un imperio transestelar solo es posible gracias a un cuerpo excepcional de oficiales y burocratas con autoridad sobre los recursos de sistemas estelares enteros. Un alto mando ya establecido permite organizar y ejecutar operaciones militares por todo el Sector.,2600,
lionsguard,Cuartel general de la Guardia del Leon,90,60,,6,,,"military, unraidable, tactical_bombardment, structure, codex_unlockable",,graphics/icons/industry/lions_guard.png,com.fs.starfarer.api.impl.campaign.econ.impl.LionsGuardHQ,"Cuartel general de la temida guardia personal de Phillip ""El Leon de Sindria"" Andrada. Con un adiestramiento excepcional y acceso al mejor equipo que los creditos pueden comprar, la lealtad fanatica de la Guardia se mantiene mediante un sistema de privilegios e incentivos que la eleva y, al mismo tiempo, la aisla del resto de las fuerzas armadas regulares del Diktat.",2650,
planetaryshield,Escudo planetario,150,90,,3,,,"grounddefenses, structure, codex_unlockable",,graphics/icons/industry/planetary_shield.png,com.fs.starfarer.api.impl.campaign.econ.impl.PlanetaryShield,"Una envoltura de plasma cargado, sembrada de particulas virtuales exoticas, que genera efectos capaces de alterar la eficacia en combate del bombardeo de largo alcance e incluso de las incursiones de naves pequenas. El escudo planetario puede mantenerse cargado de forma continua desde una fuente central y supone un obstaculo formidable para cualquier forma de asalto terrestre.",2700,EXTREME
waystation,Estacion de paso,20,60,,2,,,"waystation, structure",,graphics/icons/industry/waystation.png,com.fs.starfarer.api.impl.campaign.econ.impl.Waystation,Un deposito de suministro y mantenimiento para flotas interestelares. Aumenta la accesibilidad de la colonia.,155,MEDIUM
cryosanctum,Criosanctum,150,90,,5,,,"cryosanctum, structure, codex_unlockable",,graphics/icons/industry/cryosanctum.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryosanctum,"Una boveda descomunal, como un mausoleo, construida para guardar a quienes se arriesgan al criosueno con tal de atravesar esta epoca de conflictos y despertar en una era presumiblemente mas civilizada. Las criocapsulas en si son insignificantes en tamano frente a la infraestructura de soporte, con redundancia multiple, los enormes sistemas de seguridad automatizados y las baterias antinave, todo alojado en un laberinto-fortaleza subterraneo y ramificado.",3000,EXTREME
,,,,,,,,,,,,,,
cryorevival,Instalacion de crioreanimacion,60,60,,5,,,"cryorevival, structure, codex_unlockable",,graphics/icons/industry/cryorevival.png,com.fs.starfarer.api.impl.campaign.econ.impl.Cryorevival,Las instalaciones necesarias para la reanimacion masiva y la asimilacion de los pasajeros de una nave de criosueno de la era del Dominio. Aumenta en gran medida el crecimiento de la poblacion.,3200,MEDIUM
