event_type,event_stage,p,target_rel,channels,subject,summary,assessment,image,icon,tags,sound_id,implementation notes
food_shortage,end_player_fast,,,news,Fin de la escasez de comida $onOrAt $market,El informe indica que la escasez de alimentos $onOrAt $market ha terminado. Se atribuye el fin rapido de la escasez y la mitigacion de sus efectos a largo plazo a la llegada oportuna de una flota de ayuda comandada por $playerName.,"No hay aumento del descontento $onOrAt $market.

Los precios de los alimentos $onOrAt $market han vuelto a sus niveles normales.",,graphics/icons/markets/food_shortage.png,prices,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# player smuggling investigation,,,,,,,,,,,,
investigation_smuggling,start_smuggling,,,secure_comm,Investigacion de contrabando $onOrAt $market,Un mensaje cifrado de uno de sus contactos en el submundo de $market le advierte que las autoridades de $theMarketFaction han iniciado una investigacion sobre la reciente actividad de contrabando.,"Si la investigacion descubre que esta implicado en el contrabando, $theMarketFaction se volvera hostil hacia usted.

El/la $InvestigatorPost $investigatorName es el encargado de realizar la investigacion. Podria intentar influir en el resultado contactando con $invHimOrHer.

La investigacion durara $duration.",,,important,,
investigation_smuggling,clear_smuggling,,,player_intel_always,Investigacion de contrabando $onOrAt $market: absuelto,"La investigacion sobre contrabando de $marketFaction ha terminado, y parece que su nombre ha quedado libre de sospecha o, al menos, no hubo pruebas concluyentes que demostraran su implicacion.",La relacion con $theMarketFaction no se ha visto afectada.,,,important,,
investigation_smuggling,clear_smuggling_bribe,,,player_intel_always,Investigacion de contrabando $onOrAt $market: absuelto,"La investigacion de contrabando de $marketFaction se ha completado segun su ""acuerdo especial"" con $investigatorName, y esta mancha en su reputacion ha sido borrada.","El soborno al/la $InvestigatorPost $investigatorName fue efectivo.

La relacion con $theMarketFaction no se ha visto afectada.",,,important,,
investigation_smuggling,player_guilty_smuggling,,,player_intel_always,Investigacion de contrabando $onOrAt $market: condenado,"La investigacion de la faccion $marketFaction ha concluido que, efectivamente, usted estuvo implicado en la reciente actividad de contrabando.",,,,important,,
# faction good reputation investigation,,,,,,,,,,,,
investigation_goodrep,start_goodrep,,,secure_comm,Investigacion de $MarketFaction sobre tus vinculos con $OtherFaction,Un mensaje cifrado de uno de tus contactos $onOrAt $market te advierte que las autoridades de $theMarketFaction han iniciado una investigacion sobre tus vinculos con $theOtherFactionLong.,"$TheMarketFaction podria volverse hostil hacia usted como resultado de la investigacion.

El/la $InvestigatorPost $investigatorName en $onOrAt $market es el encargado de realizar la investigacion. Podria intentar influir en el resultado contactando con $invHimOrHer.

La investigacion durara $duration.",,,important,,
investigation_goodrep,clear_goodrep,,,player_intel_always,Investigacion de $MarketFaction sobre tus vinculos con $OtherFaction: absuelto,"La investigacion de la $marketFaction sobre tus vinculos con $theOtherFactionLong ha terminado, y has sido exonerado de actuar contra los intereses de la $marketFaction.",La relacion con $theMarketFaction no se ha visto afectada.,,,important,,
investigation_goodrep,clear_goodrep_bribe,,,player_intel_always,Investigacion de $MarketFaction sobre tus vinculos con $OtherFaction: absuelto,"La investigacion de la $marketFaction sobre sus vinculos con $theOtherFactionLong ha finalizado conforme a su ""acuerdo especial"" con $investigatorName, y se le ha eximido de cualquier acusacion de actuar contra los intereses de la $marketFaction.","El soborno al/la $InvestigatorPost $investigatorName fue efectivo.

La relacion con $theMarketFaction no se ha visto afectada.",,,important,,
investigation_goodrep,player_guilty_goodrep,,,player_intel_always,Investigacion de $MarketFaction sobre tus vinculos con $OtherFaction: condenado,La investigacion de $marketFaction sobre sus vinculos con $theOtherFactionLong ha concluido que usted ha actuado contra los intereses de $theMarketFaction. Esta claro que sera tratado con especial sospecha por $theMarketFaction.,,,,important,,
,,,,,,,,,,,,
# comm sniffer investigation,,,,,,,,,,,,
investigation_comm_sniffer,start_comm_sniffer,,,player_intel_always,Perdida de contacto con el interceptor de comunicaciones en $name,El interceptor de comunicaciones que instalo en $name ha dejado de informar. Es probable que se deba a que el software de seguridad lo ha eliminado. Es posible que una auditoria manual de los registros de seguridad desencadene una investigacion sobre el origen del interceptor.,El interceptor de comunicaciones en $name ya no esta operativo.,,,,,
investigation_comm_sniffer,player_guilty_comm_sniffer,,,player_intel_always,Interceptor de comunicaciones en $name rastreado hasta ti,Una auditoria exhaustiva de los registros de seguridad en $name ha dado como resultado que se le culpe de la brecha de seguridad.,,,,,,
,,,,,,,,,,,,
# trade disruption reports,,,,,,,,,,,,
trade_disruption,report_td,,,news,Comercio interrumpido $onOrAt $market en el sistema $marketSystem,Las flotas comerciales que van o vienen de $market no estan llegando a su destino en numeros significativos. El informe senala a la pirateria o a la guerra como los culpables mas probables.,"Es probable que los precios vuelvan a la normalidad en dos meses.

Las siguientes mercancias se ven afectadas:
$commoditySummary

Seleccione ""precios"" y cambie a la pestana del mapa para mas detalles.",,graphics/icons/markets/trade_disruption.png,prices,,
trade_disruption,report_smuggling,,,news,Actividad de contrabando $onOrAt $market en el sistema $marketSystem,La situacion $onOrAt $market se ha vuelto menos estable como resultado de la reciente actividad de contrabando. Las autoridades locales prometen una investigacion a gran escala.,Estabilidad reducida en $smugglingPenalty.,,graphics/icons/markets/smuggling.png,,,
trade_disruption,report_smuggling_player,,,news,Actividad de contrabando $onOrAt $market en el sistema $marketSystem,La situacion $onOrAt $market se ha vuelto menos estable como resultado de la reciente actividad de contrabando en la que usted ha estado involucrado. Las autoridades locales prometen una investigacion a gran escala.,"Estabilidad reducida en $smugglingPenalty.

Sus acciones recientes han contribuido a la situacion.",,graphics/icons/markets/smuggling.png,,,
,,,,,,,,,,,,
# rep changes,,,,,,,,,,,,
rep_tracker,trade_rep,,,player_intel_always,La relacion con $theFaction ha mejorado debido al comercio,Hay indicios de que su reciente actividad comercial en $marketList ha sido detectada por $theFaction.,,,,nomap,,
rep_tracker,smuggling_rep,,,player_intel_always,La relacion con $theFaction ha disminuido debido al contrabando,"Hay indicios de que $theFaction ha notado su reciente comercio en el mercado negro con $marketList. No hay pruebas concluyentes, pero esta claro que sus acciones estan siendo examinadas mas de cerca que antes.",,,,nomap,,
rep_tracker,trade_negative,,,player_intel_always,La relacion con $theHostileFaction ha disminuido debido al comercio con $pickedMarket,"Hay indicios de que tu comercio con $pickedMarket fue lo suficientemente importante como para ser notado por $theHostileFaction, que es hostil a $theFaction.","Su actividad fue reportada inicialmente por terceros en $hostileMarket.

El contrabando (si lo hubo) tuvo menos impacto que el comercio abierto.",,,nomap,,
#rep_tracker,trade_no_change,,,player_intel_always,Relacion con $theFaction sin afectacion por el comercio,"Su reciente actividad comercial con $marketList, aunque ha sido detectada por $theFaction, no ha supuesto ningun cambio en las relaciones.",La relacion esta en un punto en el que el comercio no la influira.,,,,,
#rep_tracker,trade_no_change_negative,,,player_intel_always,La relacion con $theHostileFaction no se ha visto afectada por el comercio,"Tu reciente actividad comercial con $pickedMarket, aunque ha sido notada por las autoridades hostiles en $hostileMarket, no ha provocado ningun cambio en las relaciones.",La relacion esta en un punto en el que el comercio no la influira.,,,,,
rep_tracker,trade_xp_gain,,,player_intel_always,Experiencia comercial,Tus recientes transacciones te han proporcionado una nueva vision del funcionamiento de la economia. Tambien has hecho algunos contactos valiosos.,Se ha ganado $xpGain de experiencia.,,,nomap,,
rep_tracker,rep_decay_positive,,,player_intel_always,Relacion con $theFaction mejorada,"Los pequenos desaires y ofensas se olvidan con el tiempo, si no se ven reforzados por un patron de conducta reciente.",,,,nomap,,
#rep_tracker,rep_decay_negative,,,player_intel_always,Relacion con $theFaction reducida,"Los pequenos desaires y los pequenos favores se olvidan rapidamente, si no se ven reforzados por un patron de conducta reciente.",,,,,,
rep_tracker,battle_rep_positive,,,secure_comm,Relacion con $theFaction mejorada,Su batalla contra la flota $otherFleetName ha sido detectada por $theFaction en $market.,Las noticias de la batalla fueron detectadas inicialmente por terceros en $market.,,,nomap,,
rep_tracker,comm_access_granted,,,player_intel_always,Acceso seguro a hipercomunicaciones concedido a $Faction,"Debido a tu buen prestigio ($factionStanding), las autoridades $onOrAt $market te han concedido acceso a los canales de comunicaciones internos de $Faction.",,,,nomap,,
rep_tracker,comm_access_revoked,,,player_intel_always,Acceso seguro a hipercomunicaciones revocado a $Faction,"Debido a su reducida reputacion ($factionStanding), se le ha revocado el acceso a los canales de comunicacion internos de $Faction.",,,,nomap,,
,,,,,,,,,,,,
# trade info updates (prices etc),,,,,,,,,,,,
trade_info,prices_market,,,player_intel_always,Actualizacion de precios en $market,Interceptar la red de comunicaciones local proporciona informacion sobre algunas mercancias con precios inusuales en $market.,$priceList,,,prices,,
trade_info,prices_local,,,player_intel_always,Actualizacion de precios locales,La interceptacion del trafico de comunicaciones local y de otras fuentes de datos disponibles ha proporcionado datos de precios de algunas mercancias en los mercados del sistema.,$priceList,,,prices,,
trade_info,prices_sniffer,,,player_intel_always,Actualizacion de precios,Una microexplosion del interceptor de comunicaciones en $relayName contiene informacion de precios sobre algunas mercancias en el sistema $fromSystem.,$priceList,,,prices,,
trade_info,prices_remote,,,player_intel_always,Actualizacion de precios,La interceptacion del trafico de comunicaciones local y de otras fuentes de datos disponibles ha proporcionado datos de precios de algunas mercancias en el sistema estelar $fromSystem.,$priceList,,,prices,,
,,,,,,,,,,,,
# customs inspection,,,,,,,,,,,,
customs_inspection,player_evaded,,,player_intel_always,Inspeccion de aduanas,"Su evasion de la inspeccion de aduanas, aunque tuvo exito a corto plazo, ha sido detectada por las autoridades de $faction.",,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
# system-wide bounty reports,,,,,,,,,,,,
system_bounty,likely,,,player_intel,Es probable que $market ofrezca una recompensa,Se rumorea que las autoridades $onOrAt $market estan considerando publicar una recompensa por todas las flotas hostiles a $theMarketFaction.,"
",,,,,
system_bounty,start,,,news,Recompensa ofrecida por $market,"Las autoridades $onOrAt $market, hartas de los constantes ataques al transporte, la interrupcion del comercio y el estado general de casi guerra, han puesto una recompensa por cualquier flota que sea hostil a la $theMarketFaction.","Durara $daysLeft dias.

La cantidad pagada depende de las naves destruidas (empezando en $baseBounty creditos por una fragata); la relacion con $theMarketFaction tambien podria mejorar.

Las naves deben ser destruentes o inhabilitadas en el sistema o cerca, en el hiperespacio.

El pago se entregara mediante un canal de comunicaciones seguro a traves de un repetidor cercano.
",,,,,
system_bounty,start_with_faction,,,news,Recompensa ofrecida por $market,"Las autoridades $onOrAt $market, hartas de los constantes ataques al transporte, la interrupcion del comercio y el estado general de casi guerra, han puesto una recompensa por cualquier flota que sea hostil a la $theMarketFaction.","Durara $daysLeft dias.

Probablemente provocado por la actividad de $enemyFaction en el sistema.

La cantidad pagada depende de las naves destruidas (empezando en $baseBounty creditos por una fragata); la relacion con $theMarketFaction tambien podria mejorar.

Las naves deben ser destruidas o inhabilitadas en el sistema o cerca, en el hiperespacio.

El pago se entregara mediante un canal de comunicaciones seguro a traves de un repetidor cercano.
",,,,,
system_bounty,bounty_payment,,,secure_comm,Pago de recompensa de $market: $bountyCredits creditos,El mensaje incluye un archivo adjunto cifrado que contiene un pago de $bountyCredits creditos.,"Se han obtenido $bountyCredits creditos.

$market seguira ofreciendo la recompensa durante $daysLeft dia(s).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_payment_share,,,secure_comm,Pago de recompensa de $market: $bountyCredits creditos,"El mensaje incluye un archivo adjunto cifrado que contiene su parte de la recompensa, que asciende a $bountyCredits creditos.","Se han obtenido $bountyCredits creditos.

$market seguira ofreciendo la recompensa durante $daysLeft dia(s).",,graphics/icons/intel/gain_credits.png,nomap,,
system_bounty,bounty_no_payment,,,player_intel_always,Evaluacion sobre la recompensa de $market,El mensaje contiene un informe de inteligencia interno sobre la recompensa ofrecida en $market.,"No habra pago de recompensa debido a que la relacion de $theMarketFaction con usted es $factionStanding.

$market seguira ofreciendo la recompensa durante $daysLeft dia(s).",,,nomap,,
system_bounty,bounty_no_rep,,,player_intel_always,Evaluacion sobre la recompensa de $market,El mensaje contiene un informe de inteligencia interno sobre la recompensa ofrecida en $market.,"No habra pago de recompensa ni mejora de la relacion debido a que la relacion de $theMarketFaction con usted es $factionStanding.

$market seguira ofreciendo la recompensa durante $daysLeft dia(s).",,,nomap,,
system_bounty,end,,,news,Fin de la recompensa ofrecida por $market,Las autoridades $onOrAt $market han declarado que el periodo de recompensa ha terminado oficialmente.,No se realizaran mas pagos de recompensas.,,,nomap,,
,,,,,,,,,,,,
comm_sniffer,report,,,player_comm_sniffer,Datos de interceptor de comunicaciones,"Un archivo adjunto contiene un volcado de diversos mensajes, tanto generados por humanos como automaticos, que pasan por el sistema $system.",Mejora las posibilidades de predecir con exactitud eventos futuros en el sistema estelar.,,,,,
,,,,,,,,,,,,
# person bounty reports,,,,,,,,,,,,
person_bounty,start_pirate,,,news,Recompensa de $bountyCredits publicada por $theFaction sobre $targetName,"Las autoridades de $Faction $onOrAt $market han publicado una recompensa por llevar ante la justicia a $targetName, un notorio pirata.","Recompensa de $bountyCredits creditos, entregada mediante un canal de comunicaciones seguro a traves de un repetidor cercano.

Disponible durante $daysLeft dias.

$targetDesc

Se rumorea que es $hideoutCrumb.",,,,,
person_bounty,start_deserter,,,news,Recompensa de $bountyCredits publicada por $theFaction sobre $targetName,"Las autoridades de $Faction $onOrAt $market han publicado una recompensa por llevar ante la justicia a $targetName, condenado por desercion.","Recompensa de $bountyCredits creditos, entregada mediante un canal de comunicaciones seguro a traves de un repetidor cercano.

Disponible durante $daysLeft dias.

$targetDesc

Se rumorea que esta en $hideoutCrumb.",,,,,
person_bounty,bounty_payment_end,,,secure_comm,Pago de recompensa de $theFaction: $bountyCredits creditos,El mensaje tiene un archivo adjunto cifrado que contiene un pago de $bountyCredits creditos por llevar a $targetName ante la justicia.,Se han obtenido $bountyCredits creditos.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_payment_share_end,,,secure_comm,Pago de recompensa de $theFaction: $bountyCredits creditos,"El mensaje tiene un archivo adjunto cifrado que contiene tu parte de la recompensa, que asciende a $bountyCredits creditos, por llevar a $targetName ante la justicia.",Se han obtenido $bountyCredits creditos.,,graphics/icons/intel/gain_credits.png,nomap,,
person_bounty,bounty_no_payment_end,,,player_intel_always,Evaluacion sobre la recompensa de $targetName,El mensaje contiene un informe de inteligencia interno sobre la recompensa por $targetName.,No habra pago de recompensa debido a que la relacion de $theFaction con usted es $factionStanding.,,,nomap,,
person_bounty,bounty_no_rep_end,,,player_intel_always,Evaluacion sobre la recompensa de $targetName,El mensaje contiene un informe de inteligencia interno sobre la recompensa por $targetName.,No habra pago de recompensa ni mejora de la relacion debido a que la relacion de $theFaction con usted es $factionStanding.,,,nomap,,
person_bounty,other_end,,,news,Fin de la recompensa por $targetName,Los informes indican que $targetName murio en un incidente ajeno a la recompensa publicada.,La recompensa ya no esta disponible.,,,nomap,,
person_bounty,expire_end,,,news,Fin de la recompensa por $targetName,Las autoridades de $Faction $onOrAt $market han retirado la recompensa publicada anteriormente por $targetName.,La recompensa ya no esta disponible.,,,nomap,,
,,,,,,,,,,,,
# test mission,,,,,,,,,,,,
test_mission,start,,,player_intel_always,Mision de prueba aceptada,"Has aceptado una mision de prueba. Enhorabuena, supongo.",Es poco probable que haya mas recompensas proximamente.,,,,,
test_mission,end_success,,,player_intel_always,Mision de prueba completada con exito,Mision de prueba completada con exito.,,,,,,
test_mission,end_failure,,,player_intel_always,Mision de prueba completada con fallo,Mision de prueba fallida.,,,,,,
,,,,,,,,,,,,
# market procurement mission,,,,,,,,,,,,
market_procurement,posting,,,posting,Adquirir $quantity unidades de $commodity y entregarlas en $market en un plazo de $daysLeft por un pago de $rewardCredits.,"Contacte con $contactName, $contactDesc, en $market para completar la entrega.","El pago base es de $perUnit por unidad.

$market esta controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,no_system_prefix,,
market_procurement,posting_bonus,,,posting,Adquirir $quantity unidades de $commodity y entregarlas en $market en un plazo de $daysLeft por un pago de $rewardCredits. Bonificacion de $bonusCredits por entrega en menos de $bonusDays.,"Contacte con $contactName, $contactDesc, en $market para completar la entrega.","El pago base es de $perUnit por unidad.

$market esta controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,,,
market_procurement,accept,,,secure_comm,Aceptado: adquirir $quantity unidad(s) de $commodity y entregar en $market,"Adquiere $quantity unidades de $commodity y entregalas en $market.

Contacta con $contactName ($contactDesc) en $market para completar la entrega.","Faltan $daysLeft dias para completar la entrega.

Recompensa de $rewardCredits ($perUnit por unidad).

$market esta controlado por las autoridades de $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,accept_bonus,,,secure_comm,Aceptado: adquirir $quantity unidad(s) de $commodity y entregar en $market,"Adquiere $quantity unidades de $commodity y entregalas en $market.

Contacta con $contactName ($contactDesc) en $market para completar la entrega.","Faltan $daysLeft dias para completar la entrega.

Recompensa de $rewardCredits creditos ($perUnit por unidad).

Bono de $bonusCredits si se entrega en un plazo de $bonusDays dias.

$market esta bajo el control de las autoridades de $marketFaction.

$contactName $contactDetail.",,,"no_system_prefix, important",,
market_procurement,success,,,player_intel_always,Completado: $quantity unidad(s) de $commodity entregadas en $market,Mision completada con exito.,Se ha obtenido $actualReward.,,,"no_system_prefix, important",,
market_procurement,success_bonus,,,player_intel_always,Completado: $quantity unidad(s) de $commodity entregadas en $market,Mision completada con exito.,"Se han obtenido $actualReward, incluyendo una bonificacion de $bonusCredits.",,,"no_system_prefix, important",,
market_procurement,failure,,,player_intel_always,Fallido: no se pudieron entregar $quantity unidad(s) de $commodity en $market a tiempo,Mision fallida: plazo no cumplido.,,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# analyze entity mission,,,,,,,,,,,,
analyze_entity,posting,,,posting,Ejecutar el paquete de sensores proporcionado en $entityName en $systemName en un plazo de $daysLeft por un pago de $rewardCredits.,La mision se considerara completada y el pago se efectuara inmediatamente tras activar el paquete de sensores.,$locationHint,,,no_system_prefix,,
analyze_entity,accept,,,secure_comm,Aceptado: ejecutar paquete de sensores en $entityName en $systemName,"Recompensa de $rewardCredits, debe completarse en un plazo de $daysLeft.

La mision se considerara completada y el pago se efectuara inmediatamente al ejecutar el paquete de sensores.",$locationHint,,,"no_system_prefix, important",,
analyze_entity,failure,,,player_intel_always,Fallido: ejecutar paquete de sensores en $entityName en $systemName,Mision fallida: plazo no cumplido.,,,,"no_system_prefix, important",,
analyze_entity,success,,,player_intel_always,Completado: ejecutar paquete de sensores en $entityName en $systemName,Mision completada con exito.,Se han obtenido $rewardCredits.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# survey planet mission,,,,,,,,,,,,
survey_planet,posting,,,posting,Realizar una prospeccion completa en $planetName en $systemName en un plazo de $daysLeft por un pago de $rewardCredits.,La mision se considerara completada y el pago se efectuara inmediatamente tras finalizar la prospeccion.,$surveyInfo,,,no_system_prefix,,
survey_planet,accept,,,secure_comm,Aceptado: realizar una prospeccion completa en $planetName en $systemName,"Recompensa de $rewardCredits, debe completarse en $daysLeft dias.

La mision se considerara completada y el pago se efectuara inmediatamente tras finalizar la prospeccion.",$surveyInfo,,,"no_system_prefix, important",,
survey_planet,failure,,,player_intel_always,"Fallido: realizar una prospeccion completa en $planetName, en $systemName",Mision fallida: plazo no cumplido.,,,,"no_system_prefix, important",,
survey_planet,success,,,player_intel_always,Completado: realizar una prospeccion completa en $planetName en $systemName,Mision completada con exito.,Se han obtenido $rewardCredits.,,,"no_system_prefix, important",,
,,,,,,,,,,,,
# tutorial mission,,,,,,,,,,,,
tutorial_mission,start,,,secure_comm,Comunicacion segura desde Ancyra,"Recibe una comunicacion por haz estrecho desde el principal mundo habitado del sistema, Ancyra.

El mensaje es breve y le pide que viaje alli y contacte con $mainContactPost $mainContactName lo antes posible.",,,,"no_system_prefix, important",,
