id,trigger,conditions,script,text,options,notes
gateUseOpt,PopulateGateOptions,"$global.gatesActive
$global.playerCanUseGates
$gateScanned",,,10:gateUse:Viajar a traves del Portal,
gateScanOpt,PopulateGateOptions,"!$gateScanned
$global.canScanGates",,,0:gateScan:Escanear el Portal,
gateLeaveOpt,PopulateGateOptions,,,,100:defaultLeave:Irse,
,,,,,,
# Gate scan count during gaATG,,,,,,
,,,,,,
gaATGgateScanSummaryLuddic,GAATGGateScanSummary,$GAATGluddicPostScan score:1000,"Call $global.gaATG_ref luddicGateFleetMoveBack
unset $GAATGluddicPostScan",,gaATG_gateScanSummaryLuddic2:Continuar,"# this step is to add a ""Continue"" to break up the huge block of text."
gaATGgateScanSummaryLuddic2,DialogOptionSelected,$option == gaATG_gateScanSummaryLuddic2,FireBest GAATGGateScanSummary,"Desde tu nave insignia, presencias personalmente la despedida del grupo de fieles de la Senda Ludica que mantenian la vigilia. Su flota regresa; su devocion colectiva, intacta.

-Bendiciones de Ludd para usted, capitan -dice su lider-. Hablare bien de usted ante el Profeta Retornado.

Sabes que debes asentir en senal de aceptacion sin plantear ninguna cuestion teologica, y haces un saludo cortes mientras su lanzadera abandona el hangar.",,
gaATGgateScanEndCheck1,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned >= 6","$global.gaATG_scannedSixGates = true
Call $global.gaATG_ref updateStage
FireAll PopulateGateOptions",,,
gaATGgateScanEndCheck2,GAATGGateScanSummary,"Call $global.gaATG_ref updateData
$global.numGatesScanned < 6",FireAll PopulateGateOptions,,,
,,,,,,
,,,,,,
# Gate dev testing options,,,,,,
devGateCanScanOn,PopulateGateOptions,"$global.isDevMode
!$global.canScanGates",SetOptionColor devGateScanOn gray,,"200:devGateScanOn:>> (dev) Activar ""permitir al jugador escanear portales""",
devGateCanScanOff,PopulateGateOptions,"$global.isDevMode
$global.canScanGates",SetOptionColor devGateScanOff gray,,"200:devGateScanOff:>> (dev) Desactivar ""permitir al jugador escanear portales""",
devGatesActiveOn,PopulateGateOptions,"$global.isDevMode
!$global.gatesActive",SetOptionColor devGateActiveOn gray,,"201:devGateActiveOn:>> (dev) Activar ""portales activos""",
devGatesActiveOff,PopulateGateOptions,"$global.isDevMode
$global.gatesActive",SetOptionColor devGateActiveOff gray,,"201:devGateActiveOff:>> (dev) Desactivar ""portales activos""",
devGatesPlayerCanUseOn,PopulateGateOptions,"$global.isDevMode
!$global.playerCanUseGates",SetOptionColor devGateCanUseOn gray,,"202:devGateCanUseOn:>> (dev) Activar ""el jugador puede usar portales""",
devGatesPlayerCanUseOff,PopulateGateOptions,"$global.isDevMode
$global.playerCanUseGates",SetOptionColor devGateCanUseOff gray,,"202:devGateCanUseOff:>> (dev) Desactivar ""el jugador puede usar portales""",
devGatesExplode,PopulateGateOptions,"$global.isDevMode
!$gateExploded",SetOptionColor devGateExplode gray,,210:devGateExplode:>> (dev) Hacer explotar el Portal,
devGateCanScanOnSel,DialogOptionSelected,$option == devGateScanOn,"$global.canScanGates = true
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGateCanScanOffSel,DialogOptionSelected,$option == devGateScanOff,"$global.canScanGates = false
AddText ""canScanGates = $global.canScanGates""
FireAll PopulateGateOptions",,,
devGatesActiveOnSel,DialogOptionSelected,$option == devGateActiveOn,"$global.gatesActive = true
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesActiveOffSel,DialogOptionSelected,$option == devGateActiveOff,"$global.gatesActive = false
AddText ""gatesActive = $global.gatesActive""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOnSel,DialogOptionSelected,$option == devGateCanUseOn,"$global.playerCanUseGates = true
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesPlayerCanUseOffSel,DialogOptionSelected,$option == devGateCanUseOff,"$global.playerCanUseGates = false
AddText ""playerCanUseGates = $global.playerCanUseGates""
FireAll PopulateGateOptions",,,
devGatesExplodeSel,DialogOptionSelected,$option == devGateExplode,"GateCMD explode
$gateExploded = true 0
FireAll PopulateGateOptions",,,
,,,,,,
,,,,,,
# stellar mirror and shade interactions,,,,,,
stellarMirrorOpenDialog,OpenInteractionDialog,$tag:stellar_mirror,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarMirrorLeave ""ESCAPE""",,stellarMirrorLeave:Irse,
stellarMirrorLeave,DialogOptionSelected,$option == stellarMirrorLeave,DismissDialog,,,
stellarShadeDialog,OpenInteractionDialog,$tag:stellar_shade,"ShowDefaultVisual
PrintDescription 1
SetShortcut stellarShadeLeave ""ESCAPE""",,stellarShadeLeave:Irse,
stellarShadeLeave,DialogOptionSelected,$option == stellarShadeLeave,DismissDialog,,,
,,,,,,
# Abyssal Lights,,,,,,
abyssalLightBegin,OpenInteractionDialog,$customType == abyssal_light score:1000,"ShowDefaultVisual
FireAll AbyssalLightOptions
$player.sawAbyssalLight = true","Una luz fria llena la pantalla, cruda contra la oscuridad absoluta del abismo del hiperespacio. Parece pulsar, atenuandose y volviendose mas brillante, sin seguir un patron discernible. No parpadea como una llama, ni como una senal de comunicaciones defectuosa, sino como... algo en el limite de tu conciencia. Es...

Te descubres siendo capaz de anticipar el ritmo, mas algo que se ve que algo que se oye, la luz danzante llenando tu vision...

Un tos educada de tu oficial de sensores te devuelve al presente. ""$PlayerSirOrMadam?"".",,
abyssalLightBeginAgain,OpenInteractionDialog,"$customType == abyssal_light score:1000
$player.sawAbyssalLight","ShowDefaultVisual
AddTextSmall ""    - Usa un pulso de sensores activos para aumentar el alcance de los sensores\\n    - Usa un pulso de interdiccion para aumentar el nivel de propulsion\\n    - Dura un numero determinado de anos luz recorridos\\n    - El aumento es mayor si se usa cerca de la Luz Abisal"" highlight
FireAll AbyssalLightOptions","La luz fria llena la pantalla de visualizacion, cruda contra el abismo. El sutil pulso de la luz pide atencion, pero no promete consuelo.

Sacudes apenas la cabeza, centrando tu atencion en los oficiales de tu puente para dar la siguiente orden.",,
abyssalLight_whatOpt,AbyssalLightOptions,!$player.gotFirstAbyssalLightInfodump,,,"abyssalLight_what:""Sensores, que estamos viendo?""",
abyssalLight_opsOpt,AbyssalLightOptions,"!$player.askedOpsChiefAboutAbyssalLight
$player.gotFirstAbyssalLightInfodump",,,"abyssalLight_askOps:""Operaciones, hay algun problema?""",
AbyssalLightLeave,AbyssalLightOptions,,,,defaultLeave:Irse,
abyssalLight_whatSel,DialogOptionSelected,$option == abyssalLight_what,,"""Es una luz abismal, $playerSirOrMadam"".

Su oficial de sensores se da cuenta rapidamente de que esta afirmacion es tan obvia como poco esclarecedora.

""Y... no sabemos exactamente que... es. Hay datos fragmentarios de antes del Colapso. Algunos academicos especulan con que podria ser una acumulacion espontanea de energia oscura, tal vez, alrededor de una cuasiestructura temporal de hiperespacio, una especie de nudo en dimensiones superiores que altera los efectos fisicos de... lo que sea que sea"".

Ves a su jefe de operaciones haciendo la senal manual de los espaciales para ""todos los sellos confirmados como seguros"", una especie de amuleto contra el mal.",abyssalLight_what2:Continuar,
abyssalLight_whatSel2,DialogOptionSelected,$option == abyssalLight_what2,"AddTextSmall ""    - Usa un pulso de sensores activos para aumentar el alcance de los sensores\\n    - Usa un pulso de interdiccion para aumentar el nivel de propulsion\\n    - Dura un numero determinado de anos luz recorridos\\n    - El aumento es mayor si se usa cerca de la Luz Abisal"" highlight
$player.gotFirstAbyssalLightInfodump = true
FireAll AbyssalLightOptions","-No se sabe, eh, si son peligrosos -continua tu oficial de sensores, tecleando en la consola-. El campo de propulsion deberia mantenernos a salvo.

-Parece ser muy inestable. Siempre lo son, y son dificiles de escanear correctamente. Creo que si intentaramos un escaneo activo o lanzaramos un pulso de interdiccion, colapsaria; la descarga resultante podria permitirnos cartografiar la topografia del hiperespacio local.",,
abyssalLightAskOps,DialogOptionSelected,$option == abyssalLight_askOps,$player.askedOpsChiefAboutAbyssalLight = true,"Tu jefe de operaciones, normalmente imperturbable, casi se amilana.

""$PlayerSirOrMadam. No, $playerSirOrMadam"".

Dejas que el silencio se prolongue, haciendole saber a operaciones que una negativa no es respuesta suficiente.

""Capitan"". El oficial te mira directamente. ""Se dice que... es mala suerte meterse con cosas tan profundas en el hiperespacio"". El oficial se endereza: ""No tengo una opinion tecnica; planteo el punto solo por una cuestion de moral de la tripulacion. Una mera supersticion de muelle, estoy seguro"".","abyssalLight_askOpsOutA:""Entendido, tendre cuidado. Gracias, jefe.""
abyssalLight_askOpsOutB:""Esa supersticion no tiene cabida en mi puente, entendido?""",
abyssalLightAskOpsOutA,DialogOptionSelected,$option == abyssalLight_askOpsOutA,"$player.ethosHumanitarian++
FireAll AbyssalLightOptions","""$PlayerSirOrMadam"", dice tu jefe de operaciones, y luego vuelve a la pantalla principal, decidido a no darle mas importancia.",,
abyssalLightAskOpsOutB,DialogOptionSelected,$option == abyssalLight_askOpsOutB,"$player.ethosKnowledge++
FireAll AbyssalLightOptions","""Entendido, $playerSirOrMadam"". Tu jefe de operaciones vuelve a la pantalla principal, decidido a no darle mas importancia.",,
,,,,,,
# Abyssal Light - Shrouded Dweller,,,,,,
abyssalLightDwellerBegin,OpenInteractionDialog,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Una luz fria llena la pantalla principal, cruda contra el abismo. El sutil pulso pide tu atencion, pero no ofrece promesa de consuelo.

Tras un momento, apartas la vista conscientemente de esa vision implacable, centrando tu atencion en tus oficiales de puente para dar tu siguiente orden.",abyssalLight_dwellerCont:Continuar,
abyssalLightDwellerNonLight,DwellerAttackAfterAbilityUse,"$customType == abyssal_light score:1000
$tag:dweller_light score:1000",ShowImageVisual abyssal_light2,"Una luz fria empieza a crecer en la pantalla principal. Un pulso sutil pide tu atencion.

-Capitan, yo... -Es tu oficial de navegacion, que mira los sensores y recibe un asentimiento-. La luz se mueve. Se acerca.-

Apartas conscientemente la vista de esa luz carente de consuelo, atenuada pero no despojada de su llamado, incluso a traves del escaso medio de la pantalla principal.

Te ha alcanzado.",abyssalLight_dwellerCont:Continuar,
abyssalLight_dwellerContSel,DialogOptionSelected,$option == abyssalLight_dwellerCont,,"""$PlayerSirOrMadam!"". La voz de su oficial de sensores suena tensa. ""Detecto... vienen de la luz, han aparecido de la nada!"".

La navegacion interrumpe: ""El nivel de propulsion de $ShipOrFleet esta en rojo, la inestabilidad aumenta... aguantando... alerta de multiples penetraciones. Detectadas fisuras de n-espacio dentro del volumen"".

Se produce una pausa mientras la tripulacion del puente asimila la rafaga de alertas en sus pantallas. El oficial tactico toma la iniciativa y activa la alarma de combate para enviar a toda la tripulacion a sus puestos de batalla. Actividad frenetica en todos los puestos, comunicaciones entre las estaciones coordinando la respuesta.

Los sensores anuncian sobre el bajo estruendo: ""Se estan dirigiendo hacia nuestras emisiones de sensores activos"".","abyssalLight_maxSensors:Ordenar un barrido de sensores a maxima potencia, centrado en las penetraciones anomalas de burbuja de propulsion
abyssalLight_wait:Esperar 
abyssalLight_emCon:""Maximo control de emisiones! EMCON cero-cero-alfa, ejecucion inmediata.""",
abyssalLight_maxSensorsSel,DialogOptionSelected,$option == abyssalLight_maxSensors,DwellerCMD largeFleet,"""A la orden, $playerSirOrMadam! Ejecutando"". Los sensores ladran y, con destreza, ejecutan una serie de anulaciones.

El estado de tu $shipOrFleet aparece en la pantalla central: la burbuja de escudo es de un ambar inestable, con incursiones de fisuras del espacio-N marcadas en un rojo chillon. Un parpadeo blanco cuando los sensores activos se activan y-

-la presion en la burbuja de propulsion aumenta, un destello ambar, una cacofonia de alarmas...

* * *

Una oscuridad oculta, que aguarda y acecha, se despierta de golpe. Unos zarcillos se lanzan con avidez, con hambre, a traves de las fisuras en la oscuridad tras la noche.",,
abyssalLight_emConSel,DialogOptionSelected,$option == abyssalLight_emCon,DwellerCMD smallFleet,"Ante tu orden, el imperceptible coro de multitud de sistemas y maquinaria de la nave se apaga con un suspiro profundo, sumiendose en un silencio amortiguado.

Todo lo que queda es el aliento y los cuerpos de la tripulacion de tu puente, una extrana afirmacion de vuestra humanidad compartida.

La iluminacion de emergencia, simples elementos quimicos, proporciona un brillo inquietante. Una serie de comandos con pulsos tenues iluminan tu interfaz de mando: una flota de subsistemas ardientes listos para despertar de su funcionamiento minimo al menor toque.

* * *

Una oscuridad oculta siente el roce de una sombra. Menos que una migaja, indigna de despertar. Por algun analogo de instinto distribuido, unos pocos zarcillos languidos exploran esta perturbacion, este temblor en la oscuridad tras la noche.",,
abyssalLight_dwellerWaitSel,DialogOptionSelected,$option == abyssalLight_wait,DwellerCMD mediumFleet,"Esperas.

Las alarmas se reinician, los limitadores de combate se activan. La actividad en el puente se calma gradualmente a medida que todos los oficiales, la tripulacion y los sistemas alcanzan un estado de preparacion, incluso de anticipacion: luchar o huir.

Las incursiones se arrastran mas cerca del centro de tu pantalla, expandiendose de forma inquebrantable e intencionada.

Todos los ojos estan puestos en las interfaces de mando, y toda la atencion recae en tu proxima orden.",,
,,,,,,
# Shrouded Substrate - analyzing / making weapons,,,,,,
shroudedSubstrateBegin,ShroudedSubstrateRightClick,!$player.canMakeDwellerWeapons,"ShowImageVisual shrouded_weapon_assembly
SetStoryOption shroudedSubstrateBegin 1 analyzeSubstrate technology ""Sustrato velado analizado""","Te reunes con tu oficial de tecnologia y tu jefe de ingenieria en una pequena sala de reuniones con vistas a la bahia de taller dedicada a lo que se ha bautizado eufemisticamente como ""rescate especial"".

Tecnicos con trajes de proteccion atienden la maquinaria de contencion, sorteando rollos de tubo y cable. Un revoltijo de componentes improvisados se saco de las bibliotecas comunes de microforja, se desmonto y se rediseno para funcionar en esta aplicacion tan inusual, incluso extraordinaria.

Ingenieria frunce el ceno, dando toquecitos en un TriPad mientras observa el trabajo en curso. Tecnica apenas puede contener su entusiasmo.

""$PlayerSirOrMadam,"" dicen al unisono a tu llegada.","shroudedSubstrateBegin:""Bien. Que es?""
defaultLeave:Irse","# The idea that the PC would call a meeting, show up, and then leave without a word is legitimately funny to me. -dgb"
shroudedSubstrateBegin2,DialogOptionSelected,$option == shroudedSubstrateBegin,FireAll shroudedSubstrateBeginOpts,"-Materia exotica! -exclama el tecnico.

El ingeniero interrumpe-. Otra forma de decir ""no sabemos que es"" y ""no se comporta como dice la fisica"".

Tu oficial de tecnologia vuelve a empezar, con el entusiasmo algo atenuado-. Obviamente, estaba a punto de... $playerSirOrMadam -el tecnico se vuelve hacia ti, quiza para evitar mas interrupciones-. El analisis es preliminar y esta en curso -lanza una rapida mirada al ceno fruncido del jefe de ingenieria-, con cuidado.",,
shroudedSubstrateOptA,shroudedSubstrateBeginOpts,!$saidWhatIsIt,,,"shroudedSubstrate_optSelA:""Entonces... que es?""",
shroudedSubstrateOptGA,shroudedSubstrateBeginOpts,$canSayGA,,,"shroudedSubstrate_optSelAga2:""Creo que a la Academia de Galatia le interesaria.""",
shroudedSubstrateOptB,shroudedSubstrateBeginOpts,!$saidValuable,,,"shroudedSubstrate_optSelB:""Es valioso?""",
shroudedSubstrateOptC,shroudedSubstrateBeginOpts,!$saidUseful,,,"shroudedSubstrate_optSelC:""Es util?""",
shroudedSubstrateOptD,shroudedSubstrateBeginOpts,!$saidDestroyed,,,"shroudedSubstrate_optSelD:""Se puede destruir?""",
shroudedSubstrateOptE,shroudedSubstrateBeginOpts,!$saidWeaponized,,,"shroudedSubstrate_optSelE:""Se puede convertir en arma?""",
shroudedSubstrateOptF,shroudedSubstrateBeginOpts,$saidWeaponized,,,"shroudedSubstrate_optSelF:""Ensename lo que sabes hacer.""",
shroudedSubstrateOptSelA,DialogOptionSelected,$option == shroudedSubstrate_optSelA,"$saidWhatIsIt = true 0
$canSayGA = true 0","Tu jefe de ingenieria hace un gesto de mirar a Tech con expectacion, manteniendo la boca cerrada de forma muy deliberada. Parece que ya han tenido esta discusion.

-Como, eh... -Tech lanza una mirada de consternacion hacia tu jefe de ingenieria.

-En verdad, no podria decirlo con exactitud. Y, por desgracia, no estamos equipados para realizar una investigacion cientifica completa. Claramente es parte de, o producto de, la... fuerza hostil a la que vencimos. Pero para saber que ES... se necesitaria un equipo cientifico completo y laboratorios para siquiera empezar a plantear las preguntas adecuadas, por no hablar de las respuestas...","shroudedSubstrate_optSelAga:""Como la Academia de Galatia.""
shroudedSubstrate_optSelAtt:""Como Tri-Tachyon.""",
shroudedSubstrateOptSelAga,DialogOptionSelected,$option == shroudedSubstrate_optSelAga,,"-Si, exactamente. -Tech asiente-. Aunque...","shroudedSubstrate_optSelAga2:""Aunque que?""",
shroudedSubstrateOptSelAga2,DialogOptionSelected,$option == shroudedSubstrate_optSelAga2,unset $canSayGA,"Su jefe de ingenieria responde. ""Si, no hay nada parecido en los archivos publicos. Se supone que la Academia de Galatia es neutral. Pero, como usted sabe, $playerSirOrMadam, la Hegemonia intentara poner sus manos en los controles, por asi decirlo, si ve algo que no le gusta. A la Hegemonia no le gustan las perturbaciones. Y esto...""

Extiende una mano para indicar el contenido de la zona de trabajo.

El tecnico asiente con la cabeza: ""El Ministerio de Estandares Tecnologicos seguramente confiscaria tales especimenes. No sabria decirle que harian con ellos, pero no volveriamos a verlos jamas. Eso es seguro"".","shroudedSubstrate_optSelAtt:""Tri-Tachyon, entonces.""",
shroudedSubstrateOptSelAga2b,DialogOptionSelected,"$option == shroudedSubstrate_optSelAga2
$saidTTthen","unset $canSayGA
FireAll shroudedSubstrateBeginOpts","Su jefe de ingenieria responde. ""Si, no hay nada parecido en los archivos publicos. Se supone que la Academia de Galatia es neutral. Pero, como usted sabe, $playerSirOrMadam, la Hegemonia intentara poner sus manos en los controles, por asi decirlo, si ve algo que no le gusta. A la Hegemonia no le gustan las perturbaciones. Y esto...""

Extiende una mano para indicar el contenido de la zona de trabajo.

El tecnico asiente con la cabeza: ""El Ministerio de Estandares Tecnologicos seguramente confiscaria tales especimenes. No sabria decirle que harian con ellos, pero no volveriamos a verlos jamas. Eso es seguro"".",,
shroudedSubstrateOptSelAtt,DialogOptionSelected,$option == shroudedSubstrate_optSelAtt,$saidTTthen = true 0,"Tech asiente: -Si, sus instalaciones serian mas que capaces de realizar esta investigacion. Y -con una sonrisa- es probable que paguen muy bien, si lo que dicen es cierto.","shroudedSubstrate_optSelAttA:""Que es exactamente lo que dicen 'ellos'?""
shroudedSubstrate_optSelAttB:""Quien es ese 'ellos'?""",
shroudedSubstrateOptSelAttA,DialogOptionSelected,$option == shroudedSubstrate_optSelAttA,FireAll shroudedSubstrateBeginOpts,"-La Compania paga muy bien por especimenes unicos -explica Tech-. Artefactos; tecnologia del Dominio, xenobiologia. Cualquier cosa desconocida en el actual Sector Perseano, cualquier cosa extrana que pueda demostrar principios inusuales o servir para un uso inesperado.",,
shroudedSubstrateOptSelAttB,DialogOptionSelected,$option == shroudedSubstrate_optSelAttB,FireAll shroudedSubstrateBeginOpts,"-Rescatadores independientes, chatarreros, prospectores del confin -explica Tri-Tachyon-.

-Ese tipo de personas que podrian hallar artefactos o especimenes; tecnologia del Dominio, xenobiologia... Cualquier cosa desconocida en el actual Sector Perseano, cualquier cosa extrana que pueda demostrar principios inusuales o servir para un uso inesperado. Tri-Tachyon comunica que se pagaran grandes recompensas si se traen ""ejemplares de especial interes"".",,
shroudedSubstrateOptSelB,DialogOptionSelected,$option == shroudedSubstrate_optSelB,"$saidValuable = true 0
FireAll shroudedSubstrateBeginOpts","-Extremamente -responde Tech, intercambiando una mirada con tu ingeniero jefe-. Si la proporcion de produccion de energia escala segun lo proyectado...

-Es peligroso -dice Ingenieria-. Es casi demasiado facil construir un arma con este ""sustrato"". Imagina si los sendistas...

-Si, si, otro Mairaath -interrumente Tech-. Como con cualquier tecnologia aplicada, si es lo suficientemente potente, podria... $playerSirOrMadam. Para responder a su pregunta, si, es extremadamente valioso.",,
