id,type,text1,text2,text3,text4,text5,notes
bomb,WEAPON,"Un sistema de armas probado y fiable; el compartimento de bombas alberga multiples ojivas que dependen de la velocidad de la nave lanzadora para alcanzar su objetivo.

Cada compartimento de bombas esta equipado con varias bombas Comp-X de alto explosivo no guiadas que pueden lanzarse de una en una. Las bombas no tienen sistema de propulsion y dependen de la velocidad de la nave lanzadora para llegar al objetivo (por ejemplo, mediante bombardeo en picado). El blindaje atmosferico intrinseco al diseno tambien otorga a las bombas un alto tiempo de vida en un entorno hostil de defensa de punto.",,,,,
lightneedler,WEAPON,"Dispara rafagas de pequenas flechettes a una cadencia de tiro muy alta. El volumen de fuego puede saturar rapidamente los proyectores de escudo, pero suele ser ineficaz contra el blindaje.

La Light Needler es un arma de flechettes de calibre pequeno, disenada para disparar municion sin vaina. Cuenta con un impresionante sistema de alimentacion capaz de entregar cientos de ""agujas"" por segundo. No requiere un sistema de extraccion, y el espacio ahorrado se utiliza para proporcionar unidades de refrigeracion adicionales, lo que aumenta enormemente la cadencia de tiro.

La doctrina naval del Dominio establece que el arma debe usarse contra los escudos enemigos a larga distancia, pero, en caso de necesidad, los oficiales de artilleria la emplearan contra escuadrones de cazas enemigos y amenazas de misiles de largo alcance.",,,,,
railgun,WEAPON,"Una mejora de alta tecnologia del canon automatico, el canon de riel dispara proyectiles precisos de alcance medio. Al igual que el canon automatico, destaca por saturar los generadores de escudo enemigos.

Una version miniaturizada del canon Gauss, el canon de riel se basa en un fuerte campo magnetico para disparar proyectiles a altas velocidades. La precision y el alcance son excelentes, y la torreta es capaz de rotar rapidamente mientras no dispara.

Los oficiales de artilleria prefieren el canon de riel al canon automatico cuando disponen de una amplia capacidad de flujo.",,,,,
shredder,WEAPON,"Un canon rotatorio disenado generosamente para ofrecer gran facilidad de uso y fiabilidad. Mientras tanto, los oficiales de armas de las armadas profesionales del Sector Perseano maldicen al Thumper por recompensar los malos habitos de mantenimiento.

Destroza misiles y cazas enemigos con una lluvia abrumadora de proyectiles de fragmentacion de baja masa y velocidad media. Aunque es eficiente en cuanto a flujo, este sistema de armas tiene poco efecto contra el blindaje y los escudos.",,,,,
flak,WEAPON,"Un sistema de armas defensivo que dispara proyectiles llenos de metralla equipados con una espoleta de proximidad para lograr el maximo efecto contra cazas y misiles.

El creciente protagonismo de naves de combate pequenas y baratas, especialmente en el papel de ataque, llevo a un despliegue mas amplio de este sistema de armas en los dias freneticos previos al Colapso. Dispara proyectiles balisticos dotados de una espoleta de proximidad. La explosion resultante lanza una lluvia de flechettes en un amplio volumen con un radio de letalidad respetable contra objetivos estandar. Los modelos mas nuevos cuentan con un sistema de control de fuego integrado en un Predictor Mark VI.",,,,,
heavymg,WEAPON,"Un primo mayor de la ubicua categoria de armas de ametralladora de fuego rapido, la MG pesada es eficaz tanto contra objetivos pequenos como medianos.

Un caballo de batalla para las naves de patrulla en todo el Sector, este sistema de armas cuenta con un mecanismo de disparo por retroceso fiable que, segun se dice, se remonta a los dias de la Antigua Tierra. Las funciones de seguridad incluyen una proteccion contra el encendido espontaneo para la limpieza del cerrojo abierto y una doble prevencion de impactos por percusion. El arma suele montarse sobre una base relativamente masiva para ayudar a absorber el retroceso durante rafagas de fuego prolongadas. Los calibres varian dentro de un rango moderado y la municion se fabrica facilmente en las nanoforjas estandar.

Los proyectiles mas pesados no se fragmentan al impactar como la municion ligera y representan una amenaza creible para las naves de clase fragata. Extremadamente precisa, aunque de cadencia de tiro mas lenta que un canon vulcan. Destaca en funciones de defensa de punto.",,,,,
arbalest,WEAPON,"Un diseno de arma anticuado con un alto dano por proyectil para su tamano. Los proyectiles cineticos son especialmente eficaces contra los escudos enemigos.

Las naves de patrulla mas pesadas en la epoca del Colapso estaban equipadas mayoritariamente con la plataforma de armas Arbalest Mk I; esto explica probablemente por que se dice que el Arbalest es uno de los sistemas de armas de nave mas rescatados del Sector. El primitivo sistema de refrigeracion y la falta de un eyector automatico dificultan la cadencia de tiro y la fiabilidad.

Su unica ventaja es la ubicuidad de los planos para el proyectil Arbalest, que es eficaz para derribar escudos enemigos. No se comprende bien la eficacia de los proyectiles, y se sospecha que reside en las propiedades electromagneticas imprevistas de las fundas de los proyectiles.",,,,,
dualflak,WEAPON,"Una montura doble del canon de flak, mejorada y de una eficacia brutal. Apodada ""La fabricante de viudas"" por su capacidad para despedazar cazas entrantes.

Al igual que el canon de flak estandar, esta arma devasta objetivos mas pequenos, como cazas y misiles, aunque dispara dos proyectiles con espoleta de proximidad. La dispersion controlada asegura una doble detonacion y un radio de letalidad mayor. Por razones obvias, rara vez se lanzan cazas intencionadamente contra naves equipadas con el Dual Flak. Excelente cadencia de tiro y velocidad de rotacion de la torreta.",,,,,
chaingun,WEAPON,"La ametralladora Mk. II de GA-X Industries destaca en el combate a corta distancia, donde la precision es menos importante que el dano total y el volumen de fuego.

Herramienta favorita de los capitanes que prefieren el ""combate cuerpo a cuerpo"", la ametralladora de asalto lanza proyectiles de carga hueca de alto poder explosivo contra el objetivo a un ritmo temible. Cuenta con sistemas de alimentacion y eyeccion motorizados y una unidad de nanofreacion avanzada integrada en el canon.

El unico inconveniente es un perfil de torreta mas pesado que, sumado a la falta del plano del regulador correspondiente, suele montarse en rotadores incompatibles, lo que da lugar a velocidades de rotacion de torreta inesperadamente bajas.",,,,,
heavymauler,WEAPON,"Un sistema de armas avanzado disenado para perforar el blindaje a larga distancia. Tiene una baja cadencia de fuego sostenida, pero un alto dano por rafaga.

El heavy mauler es un arma brutal disenada para entablar combate con objetivos a media y larga distancia. En su esencia, el arma es un canon automatico con un sistema de nanofusion y un puerto de eyeccion externo. Sin embargo, a diferencia de los canones automaticos normales, el heavy mauler se distingue por un cargador de canon de antimateria alimentado por cantidades insignificantes de combustible estandar de nave estelar.

Al salir de la camara de disparo, la ojiva de cada proyectil se carga con un campo de antiprotones que flotan entre 10 y 20 nanometros al frente del proyectil, estabilizados por un revestimiento de bariones. Al impactar contra un objetivo, esta ""vaina"" de antiprotones pierde integridad estructural y la reaccion resultante inflige dano adicional. Dado que los proyectiles ya proporcionan una fuerza destructiva impresionante al objetivo, la reaccion combinada hace que el heavy mauler sea particularmente eficaz contra objetivos blindados.",,,,,
heavyac,WEAPON,"Un canon de tres canones que dispara una rafaga de proyectiles estandarizados a medio alcance. Es mas efectivo contra los escudos enemigos.

Canon automatico de calibre medio y tres canones, desplegado tipicamente con municion de calibre medio. Sus espoletas de disparo con iniciacion electrica garantizan un conteo de disparos preciso. Como arma de apoyo de fuego, es habitual encontrarlo en naves de clase destructor y crucero. Una bateria de canones automaticos pesados con una solucion de tiro adecuada puede suponer una amenaza seria para las naves capitales.

Sin embargo, la necesidad de masa adicional para alojar el complejo cargador automatico y los sistemas de refrigeracion resulta en una tasa de giro muy pobre.",,,,,
hveldriver,WEAPON,"Un arma especializada disenada para sobrecargar e inhabilitar los sistemas enemigos desde la distancia. El proyectil de duranio de alta velocidad tambien es eficaz contra los escudos.

El impulsor de hipervelocidad utiliza un proceso de dos etapas para acelerar un proyectil de duranio con un nucleo de hierro y cobalto magnetizado a una velocidad muy alta. Una carga quimica acelera el proyectil primero, luego las bobinas magneticas toman el control, acelerandolo aun mas y estabilizando su vuelo. El proyectil llega con una carga muy alta al objetivo, generando una cantidad significativa de interferencia electromagnetica en la nave que impacta.",,,,,
heavyneedler,WEAPON,"Un montaje doble del Light Needler con una base mas pesada; este avanzado sistema de armas es capaz de abrumar rapidamente los proyectores de escudo.

El Heavy Needler es un arma avanzada que dispara pequenos proyectiles tipo flecha. Como mejora del Light Needler, cuenta con mejores sistemas de alimentacion y refrigeracion, lo que permite una cadencia de tiro aun mayor. Los proyectiles son identos a la version ligera: municion sin vaina con punta de tungsteno.",,,,,
gauss,WEAPON,"Un arma de largo alcance disenada para sobrecargar los escudos del objetivo. El pesado proyectil cinetico que dispara tambien es eficaz contra casi todo el blindaje, excepto el mas pesado.

Utiliza bobinas magneticas para acelerar un gran proyectil compuesto ultradenso a velocidades relativistas. Normalmente se situa en el rango de los cientos de gigaamperios, y rara vez supera un teraamperio. Y, a diferencia de la mayoria de las armas balisticas, tiene una carga de flujo muy alta al disparar. Las torretas equipadas con este sistema tienen una tasa de giro extremadamente pobre.

Es un arma muy eficaz cuya utilidad se ve limitada por la baja potencia de los reactores de las naves que suelen presentar grandes montajes de armas balisticas. ",,,,,
hephag,WEAPON,"Un gran sistema de canon balistico con buen alcance operativo; sus proyectiles de carga hueca de alto explosivo estan disenados para destrozar blindajes pesados. El dano bruto tambien puede servir para abrumar emisores de escudos mas debiles.

El Canon de Asalto Hephaestus es una plataforma de armas verdaderamente devastadora, llamada asi por una deidad de la Antigua Tierra asociada a un predecesor distante de la nanoforja. Un chasis tipico cuenta con dos canones L/8ternut que alternan disparos de proyectiles destructores de blindaje con una alta cadencia de fuego. Un eyector electromagnetico, un sistema de alimentacion por presion y nanocoolantes permiten que el arma dispare durante periodos prolongados, limitados unicamente por la reserva de flujo.

Existe una tradicion entre los oficiales de la Hegemonia de referirse al retumbar del retroceso del Hephaestus como ""el latido de la Armada de la Hegemonia"", a lo que la tripulacion responde con un entusiasta ""Ooh-rah!"". En los bares de los puertos se soportan varios juegos de beber con una tematica similar, aunque expresada de forma mas vulgar, para gran molestia de los propietarios debido a los pisotones y a la inevitable rotura de las jarras.",,,,,
mark9,WEAPON,"Un imponente canon automatico de medio alcance que se utiliza con mayor eficacia contra escudos; el Mark IX tambien puede servir admirablemente para aniquilar cascos sin blindaje. Un sistema de doble cargador unico, disenado con dos canones, permite la descarga de un gran volumen de proyectiles de gran calibre.

Los planos del Mark IX fueron redescubiertos por primera vez en el Sector Perseano en un pecio a la deriva capturado en el pozo gravitatorio de la estrella Penelope. Tras un examen apresurado de los archivos por parte de un evaluador no cualificado -los informes historicos consideraban el Mark IX obsoleto debido a su bajo rendimiento contra las naves de guerra fuertemente blindadas que predominaban en aquella epoca-, el plano fue subastado y adquirido por una pequena organizacion mercenaria conocida como Tactistar, una contratista militar que entonces era una filial de Ko Combine, y quedo en el olvido. Tras algunos ciclos, se hallo suficiente capital excedente para construir finalmente un prototipo para pruebas de armamento. El Mark IX era, por lo general, nada excepcional; se consideraba demasiado grande y mediocre contra objetivos blindados. No obstante, su capacidad de dano bruto era impresionante y las pruebas secundarias mostraron un efecto devastador cuando se empleaba contra objetivos con escudos.

Despues de aquello, el Mark IX no permanecio en secreto mucho tiempo. Tactistar Combine vendio con beneficios los derechos de fabricacion por todo el Sector Perseano y pronto se recompro a si misma de su siempre pesada corporacion matriz.",,,,,
mjolnir,WEAPON,"Un sofisticado sistema de armas de alcance medio que proporciona un dano superior junto con una carga significativa de PEM.

El Mjolnir es, tecnicamente, un proyector magnetogravitico mas que un canon en el sentido tradicional. Cada municion contiene una pequena cantidad de materia exotica condensada y una microsingularidad aislada que se combinan de forma destructiva al impactar, canalizando energia a traves de una lente gravitica temporal. El efecto local resulta en la devastacion de la materia ordinaria y la liberacion de un potente pulso electromagnetico (PEM) que inhabilita las armas y los sistemas de la nave atacada.",,,,,
multineedler,WEAPON,"Dispara una granizada devastadora de proyectiles cineticos que sobrepasa facilmente a la mayoria de los proyectores de escudo.

El Storm Needler es un sistema de armas balisticas de gran tamano que dispara municion de flechettes de calibre pequeno sin vaina. Tras alcanzar los limites practicos de los sistemas de refrigeracion de tamano medio, los disenadores de la municion sin vaina abrieron camino hacia armas mas grandes con los avanzados recicladores de refrigerante nanotecnologico del Storm Needler, el estriado magnetizado por canon y su funcionamiento automatizado. Un cargador inteligente desempaqueta y carga la cantidad justa de municion de los cargadores, lo que permite un funcionamiento prolongado siempre que la nave nodriza tenga una capacidad de flujo adecuada.",,,,,
hellbore,WEAPON,"Un canon enorme que dispara proyectiles cargados de plasma de movimiento lento. Los proyectiles son muy eficaces contra el blindaje y aniquilan cualquier estructura de casco que quede debajo.

Una temida plataforma de armas, rara vez desplegada debido a la complejidad que implica fabricar un canon construido que pueda disparar con seguridad enormes proyectiles de carga hueca de alto poder explosivo. Cuando un proyectil asi impacta en un objetivo, el efecto Neumann hace que la ojiva proyecte un chorro de metal fundido hacia el blindaje del objetivo, vaporizando una pequena zona y provocando brechas en el casco, despresurizacion y danos internos extensos por la fragmentacion.",,,,,
reaper,WEAPON,"Un unico torpedo no guiado de potencia devastadora con un potente motor a bordo.

El arma de ataque por excelencia, un unico torpedo Reaper es un sistema de entrega grande, autopropulsado, blindado y no guiado para una ojiva nuclear enriquecida y catalizada por AM. La ciencia detras del detonador sorprendentemente compacto es poco conocida en el Sector, aunque se especula ampliamente que se basa en fisica clasificada como secreta por las autoridades del Dominio. Lo que se sabe es que tres o cuatro de estos, pasando por los arcos de la DP, son suficientes para destruir incluso la nave capital mas grande.",,,,,
atropos,WEAPON,"Un bastidor de torpedos guiados avanzados. La carga es mas pequena de lo habitual para dejar espacio al avanzado paquete de guia y a la masa de reaccion del sistema de maniobra.

El torpedo Atropos es un torpedo guiado de gran tamano con un alcance extendido. Cada bastidor monta dos torpedos que pueden dispararse por separado, lo que permite a los capitanes de ataque la maxima flexibilidad. La ojiva nuclear catalizada por AM que se utiliza habitualmente en los torpedos falta aqui, ya que la interferencia barionica del detonador contaminaria los sistemas de guia. Ha sido sustituida por una carga quimica mas pequena, pero aun potente.",,,,,
atropos_single,WEAPON,"Un unico torpedo avanzado y guiado. La carga util es mas pequena de lo habitual para dar cabida al avanzado paquete de guiado y a la masa de reaccion del sistema de maniobra.

El torpedo Atropos es un torpedo guiado de gran tamano y alcance extendido. La ojiva nuclear catalizada por AM que se utiliza habitualmente en las ojivas de torpedo no esta presente, ya que la interferencia barionica del detonador afectaria a los sistemas de guiado. En su lugar, se utiliza una carga quimica mas pequena, pero aun asi potente.

Este montaje cuenta con un unico torpedo.",,,,,
swarmer,WEAPON,"Lanzador de misiles guiados de corto alcance. Los misiles estan disenados para interceptar objetivos agiles y son efectivos principalmente contra naves pequenas como fragatas y cazas.

Lanza rafagas de misiles pequenos. Un sistema infrarrojo sencillo proporciona un seguimiento eficaz, mientras que los micropropulsores quimicos aportan una maniobrabilidad excepcional. Los algoritmos de fijacion evolutivos, perfeccionados durante siglos de aplicacion real, permiten que los misiles anticipen al objetivo; rara vez fallan y son muy dificiles de evitar.",,,,,
swarmer_fighter,WEAPON,Un lanzador de misiles guiados de corto alcance. Los misiles estan disenados para interceptar y destruir cazas enemigos.,,,,,
annihilator,WEAPON,"Dispara una dispersion de cohetes sin guia que cubren un arco amplio. Se utiliza habitualmente para desprender el blindaje enemigo una vez que los escudos han caido.

Cohetes de medio a largo alcance lanzados desde un lanzador pequeno que dispara cinco misiles por salva en una dispersion estrecha para mejorar las probabilidades de impacto. Los cohetes son pequenos y sin guia; el espacio extra se utiliza para una ojiva mas grande y sistemas de propulsion mejorados, asi como para un blindaje mas grueso.

Funciona bien contra objetivos de mayor tamano debido a la mayor probabilidad de impactar con multiples cohetes. Un ataque de cohetes se utiliza a menudo como pantalla antes de un ataque de torpedos para reducir la eficacia de los sistemas de defensa de punto. Tarda varios segundos en recargar tras una salva.",,,,,
annihilator_fighter,WEAPON,Dispara una salva de cohetes sin guia. Se utiliza habitualmente para erosionar el blindaje enemigo una vez que los escudos han caido.,,,,,
annihilatorpod,WEAPON,"Dispara una rafaga de cohetes sin guia. Util para lidiar con el blindaje enemigo o, debido a que no tiene coste de flujo, para aplicar una presion sostenida.

Presenta los mismos cohetes de alcance medio a largo que se encuentran en lanzadores mas pequenos. Los cohetes no tienen guia, ya que el espacio extra se utiliza para una ojiva mas grande y sistemas de propulsion mejorados, asi como un blindaje mas grueso.

Funciona bien contra objetivos grandes debido a la mayor probabilidad de impactar con multiples cohetes. Un ataque con cohetes se utiliza a menudo como pantalla antes de un ataque con torpedos para reducir la eficacia de los sistemas de defensa de punto. ",,,,,
heatseeker,WEAPON,"Se dirige hacia los motores del objetivo y los inhabilita con una potente rafaga de pulso electromagnetico (EMP). Un sistema de autocargador de combate garantiza su utilidad en enfrentamientos prolongados.

El misil Salamander es un arma especializada con dos consideraciones de diseno. La primera es un mecanismo de seguimiento y fijacion de objetivos extremadamente avanzado que le permite dirigirse a los motores enemigos evitando todos los demas puntos de impacto potenciales y las amenazas de defensa de punto.

La segunda es un diseno de ojiva especial que, en lugar de intentar destruir el objetivo con fuerza cinetica o explosiva, genera campos electromagneticos dirigidos de gran magnitud. Cuando se crea tal campo cerca de motores y componentes del casco sin escudo, inhabilitara rapidamente toda su electronica, dejandola inutil hasta que sea reparada.",,,,,
salamanderpod,WEAPON,"Se dirige a los motores del objetivo y los inhabilita con una potente rafaga de PEM. Un sistema de autocargador de grado de combate garantiza su utilidad en enfrentamientos prolongados.

Un pod montado externamente sustituye a los lanzamisiles mas comunes y permite disparar dos misiles casi simultaneamente. Un autocargador extrae, arma y prepara la siguiente salva de dos misiles tras una breve espera.

El misil Salamander es un arma especializada con dos consideraciones de diseno. La primera es un mecanismo de seguimiento y fijacion de objetivos extremadamente avanzado que le permite dirigirse a los motores enemigos, evitando todos los demas puntos de impacto potenciales y las amenazas de defensa de punto.

La segunda es un diseno de ojiva especial que, en lugar de intentar destruir el objetivo con fuerza cinetica o explosiva, genera campos electromagneticos dirigidos de gran magnitud. Cuando se crea tal campo en las proximidades de motores y componentes del casco sin escudo, dejara fuera de combate rapidamente toda su electronica, dejandolos inutilizados hasta que sean reparados.",,,,,
harpoon,WEAPON,"Lanzador de misiles guiados de alcance medio y gran carga util. Devastador contra naves con los escudos desactivados.

Tres lanzadores de misiles de alcance medio. Un excelente sistema de propulsion entrega una gran ojiva al objetivo a velocidades subluminicas. Sacrificando maniobrabilidad en favor de la velocidad y el tamano de la ojiva, el misil de alcance medio es una de las armas de gran potencia que no son de asalto mas empleadas en el Sector. Un solo impacto es casi fatal para naves de tamano fragata.

Este sistema de armas cuenta con un lanzador que alberga multiples misiles.",,,,,
harpoonpod,WEAPON,"Lanzador de misiles guiados de alcance medio y gran capacidad de carga. Devastador contra naves con los escudos desactivados.

Un lanzador montado externamente sustituye a los racks de misiles mas comunes y permite disparar multiples misiles casi simultaneamente. Un cargador automatico extrae, arma y prepara la siguiente salva de misiles tras una breve espera.

Estos misiles de alcance medio son identicos a los disparados desde racks simples o triples, y son una forma excelente de rematar una nave con los escudos desactivados. Un sistema de propulsion excelente entrega una gran carga util al objetivo a velocidades subluminicas. Al sacrificar maniobrabilidad en favor de la velocidad y el tamano de la carga util, el misil de alcance medio es una de las armas de gran potencia que no son de ataque directo mas potentes empleadas en el Sector. Un solo impacto es casi fatal para naves de tamano fragata.
",,,,,
harpoon_single,WEAPON,"Misil guiado de alcance medio y gran carga util. Devastador contra naves con los escudos desactivados.

Un excelente sistema de propulsion entrega una gran ojiva al objetivo a velocidades subluminicas. Sacrificando maniobrabilidad en favor de la velocidad y el tamano de la ojiva, este misil de alcance medio es una de las armas de alto rendimiento no de ataque mas potuestas en el sector. Un solo impacto es casi fatal para naves de tamano fragata.

Esta montura solo puede lanzar un misil a la vez y contiene un repuesto en un cargador de grado de combate empotrado en el casco.",,,,,
sabot,WEAPON,"Dispara una dispersion de segunda etapa de penetradores cineticos de alta velocidad cuando esta en rango. Inflige dano pesado a los escudos y un dano masivo por PEM al impactar en el casco o el blindaje enemigo. Dificil de detener con defensa de punto.

Los misiles de clase sabot son armas cineticas de dos etapas y corto alcance. La primera etapa de un misil guiado proyecta un conjunto secundario a una distancia de impacto de un objetivo con escudo. El ordenador de fijacion de objetivos a bordo enciende entonces el propulsor para un penetrador cinetico. Este ""sabot"", como se le llama comunmento, es tipicamente un proyectil estrecho y estabilizado lateralmente, fabricado con un material ultradenso como el uranio empobrecido.

Excelente para derribar escudos enemigos y provocar una sobrecarga. El blindaje estandar de las naves es espaciado y, por tanto, el sabot inflige un dano mas manejable si los escudos se bajan a tiempo para recibir el impacto en el blindaje.

Este sistema de armas cuenta con un bastidor de disparo que alberga multiples misiles.",,,,,
sabotpod,WEAPON,"Dispara una segunda etapa de proyectiles cineticos de alta velocidad en dispersion cuando esta en rango. Inflige un dano pesado a los escudos y un dano de EMP masivo al impactar en el casco o el blindaje enemigo. Dificil de detener con DP.

El pod sustituye a los mas comunes lanzamisiles y permite disparar multiples misiles casi simultaneamente. Un cargador automatico extrae, arma y prepara la siguiente salva de misiles tras un breve retraso.

Los misiles de clase sabot son armas cineticas de dos etapas y corto alcance. La primera etapa de un misil guiado proyecta un conjunto secundario hasta una distancia de impacto con un objetivo con escudo. El ordenador de tiro a bordo enciende entonces el propulsor de un penetrador cinetico. Este ""sabot"", como se le llama comunmente, es tipicamente un proyectil estrecho y estabilizado lateralmente, fabricado con un material ultra denso como el uranio empobrecido.

Excelente para derribar escudos enemigos y provocar una sobrecarga. El blindaje estandar de las naves es espaciado y, por tanto, el sabot inflige un dano mas manejable si los escudos se bajan a tiempo para recibir el impacto en el blindaje.

Este sistema de armas cuenta con un bastidor de disparo que alberga multiples misiles.",,,,,
sabot_single,WEAPON,"Dispara una dispersion de segunda etapa de penetradores cineticos de alta velocidad cuando esta en rango. Gran dano a los escudos y un dano masivo por PEM al impactar en el casco o el blindaje enemigo. Dificil de detener con defensa de punto.

Los misiles de clase sabot son armas cineticas de corto alcance y dos etapas. La primera etapa de un misil guiado proyecta un conjunto secundario a una distancia de impacto de un objetivo con escudo. El ordenador de tiro de a bordo enciende entonces el propulante para un penetrador cinetico. Este ""sabot"", como se le llama comunmente, es tipicamente un proyectil estrecho y estabilizado lateralmente, fabricado con un material ultradenso como el uranio empobrecido.

Excelente para derribar los escudos enemigos y provocar una sobrecarga. El blindaje estandar de las naves es espaciado y, por tanto, el sabot inflige un dano mas manejable si los escudos se bajan a tiempo para recibir el impacto en el blindaje.

Este montaje solo puede lanzar un misil a la vez y lleva un unico repuesto en un cargador de grado de combate empotrado en el casco.",,,,,
